service,top90_trace_num,top90_cg_num,ms_num,label
S_74532974,46615,45,3,1
S_93713182,46454,4,5,1
S_36817899,46353,1,3,5
S_22450908,46044,1,3,1
S_130841817,45934,20,4,1
S_91896215,45842,3,7,1
S_12574236,45311,17,3,1
S_44000588,45141,2,3,1
S_29033945,45028,1,4,2
S_27835749,44936,25,3,1
S_55969898,44266,566,3,1
S_12574230,44160,2,3,5
S_125453044,44022,74,75,5
S_161351908,43706,1,3,5
S_4792702,43559,2,3,1
S_149974334,43386,2,3,1
S_111653987,42835,2,3,1
S_109858893,42533,94,4,5
S_94889069,42092,2,3,1
S_29631339,41760,65,3,1
S_76340763,41546,4,4,2
S_51183503,40827,3,5,5
S_20060332,40175,1,2,1
S_22450911,39774,2,3,5
S_133810972,39370,1,2,5
S_120043984,38945,16,17,5
S_53598362,38907,2,4,5
S_59590435,38686,1,2,5
S_2033056,38646,4,6,2
S_118847629,38525,2,3,5
S_113474158,38017,2,4,5
S_76328515,37562,2,4,5
S_137999272,37221,3,9,2
S_26040488,37212,66,3,1
S_7790155,36976,2,3,2
S_70942172,36868,1,3,2
S_95486550,36867,449,4,1
S_9579878,36354,3,5,5
S_76929146,36074,1,2,5
S_166139150,35195,1,3,1
S_104495288,35182,131,10,2
S_150593866,34914,3,5,2
S_94887877,34583,85,3,1
S_155360488,33390,140,3,1
S_142190078,33047,89,4,1
S_76329671,32804,2,3,1
S_103066791,32710,1,3,2
S_7786052,32542,2,3,5
S_90099381,32013,2,3,5
S_50585579,31861,2,3,5
S_156581095,31631,1,4,5
S_12161796,31435,3,4,1
S_116461881,31430,3,4,5
S_84108349,31281,408,4,1
S_99083351,31236,4,8,1
S_34341332,31204,1,2,5
S_119447027,30823,2,3,2
S_124827190,30820,15,3,1
S_25441149,30469,6,3,5
S_6588984,30458,16,3,1
S_10181092,30390,977,3,1
S_160156900,30390,1,2,1
S_92517294,30045,1,3,1
S_85307822,29955,3,3,1
S_69144768,29676,2,3,5
S_152966221,29512,44,10,1
S_147601298,29384,2,4,5
S_129023292,29124,2,3,1
S_141592796,28356,2,5,5
S_112142217,28236,1,2,1
S_49997708,27991,4,6,5
S_164368453,27878,1,3,2
S_148179828,27682,7,3,1
S_36249391,27564,37,8,4
S_45827651,27509,36,8,4
S_149974335,27080,3419,3,1
S_64358886,27055,3,7,1
S_45971995,26978,1,2,1
S_125450992,26830,3,3,1
S_148778151,26699,2,3,1
S_2399272,26481,3,5,2
S_23673104,26246,1,4,2
S_54798401,26112,2,4,2
S_137420872,26067,8,3,1
S_161976152,25915,2,3,5
S_162519946,25891,2,4,2
S_13196522,25877,2,3,5
S_12574355,25812,4,5,2
S_51813504,25768,11,6,4
S_27873012,25446,3,5,2
S_144617605,25195,11,6,4
S_39212373,24615,1,4,5
S_70342828,24535,1,4,5
S_39222314,24512,2,4,5
S_91298219,24462,6,7,1
S_12595448,24296,3,4,5
S_103300193,24092,4,5,1
S_123655229,23936,12,11,2
S_21864530,23856,2518,12,5
S_118876361,23785,11,6,4
S_47623954,23618,11,6,4
S_13405022,23569,1,2,1
S_117079416,23478,11,6,4
S_12595551,23233,180,4,1
S_101507597,23226,11,6,4
S_161982282,23191,11,6,4
S_136801819,23172,5,3,1
S_17693358,23117,11,6,4
S_16493656,22951,11,6,4
S_121841860,22947,2,6,5
S_142811817,22843,13,3,1
S_16495185,22770,11,6,4
S_135038076,22758,11,6,4
S_53009862,22751,11,6,4
S_76359737,22673,11,6,4
S_101509235,22540,11,6,4
S_57797111,22457,13,6,4
S_16494254,22449,11,6,4
S_64984090,22446,11,6,4
S_147610643,22366,11,6,4
S_29662532,22328,12,6,4
S_41035905,22270,11,6,4
S_14067283,22189,6,3,1
S_1230408,22183,11,6,4
S_67980045,22127,11,6,4
S_101480257,22123,5,6,5
S_123057695,22113,10,3,1
S_118278921,22080,11,6,4
S_150593877,22052,10,10,1
S_107494274,22052,11,6,4
S_124261106,22051,11,6,4
S_15265797,21993,1,3,1
S_93091481,21989,1,2,5
S_18294291,21979,11,6,4
S_135635662,21977,11,6,4
S_129054237,21971,11,6,4
S_72765707,21970,11,6,4
S_601773,21953,7,11,1
S_4206035,21912,2,3,5
S_136232660,21911,11,6,4
S_152995795,21883,11,6,4
S_14095426,21870,11,6,4
S_160184389,21864,11,6,4
S_36217075,21820,2,3,1
S_148208823,21793,11,6,4
S_40436730,21761,12,6,4
S_151201213,21752,12,6,4
S_4223782,21713,11,6,4
S_85338734,21701,11,6,4
S_91325946,21699,11,6,4
S_154183306,21687,14,4,1
S_17695180,21678,11,6,4
S_86534445,21668,11,6,4
S_47022856,21651,11,6,4
S_111682655,21631,11,6,4
S_89532014,21629,11,6,4
S_99710251,21628,11,6,4
S_3026932,21596,11,6,4
S_92669529,21586,2,3,5
S_154162954,21501,2,4,2
S_133244680,21495,11,6,4
S_44626890,21472,11,6,4
S_106298273,21439,11,6,4
S_44029869,21439,11,6,4
S_132045596,21421,11,6,4
S_160184563,21408,11,6,4
S_156588766,21407,11,6,4
S_48818842,21406,11,6,4
S_18892455,21404,11,6,4
S_52411493,21388,11,6,4
S_129053295,21377,11,6,4
S_135038081,21342,11,6,4
S_141622259,21342,11,6,4
S_145816602,21333,11,6,4
S_631024,21307,11,6,4
S_160784903,21290,11,6,4
S_48222319,21286,11,6,4
S_129651684,21276,11,6,4
S_124260164,21243,11,6,4
S_149405662,21236,11,6,4
S_109282559,21231,164,4,1
S_149999091,21229,3,4,5
S_1228620,21220,11,6,4
S_88332455,21207,11,6,4
S_99710243,21190,11,6,4
S_38044500,21173,11,6,4
S_41632850,21159,11,6,4
S_99710248,21123,11,6,4
S_94291746,21116,1,2,1
S_45228285,21109,11,6,4
S_138028509,21076,11,6,4
S_141592795,21027,1,3,5
S_18292606,20979,11,6,4
S_17694436,20972,11,6,4
S_127257027,20968,11,6,4
S_46427159,20963,11,6,4
S_6619889,20955,11,6,4
S_151789112,20929,4,4,2
S_53608136,20918,11,6,4
S_57197301,20903,12,6,4
S_59595781,20890,11,6,4
S_64984871,20863,11,6,4
S_84739263,20837,11,6,4
S_126625753,20821,1,3,1
S_87135488,20820,11,6,4
S_90110534,20818,4,5,3
S_96115401,20793,11,6,4
S_88932226,20745,11,6,4
S_76951014,20734,6,3,1
S_139822343,20716,11,6,4
